Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
01-01-2018,00 - 01,"31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","21,8","31,1","26,33"
01-01-2018,01 - 02,"30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43"
01-01-2018,02 - 03,30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1","27,4","26,1",30,"26,1"
01-01-2018,03 - 04,30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7"
01-01-2018,04 - 05,"28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74"
01-01-2018,05 - 06,"29,3","24,76","29,3","24,76","29,3","24,67","29,3","24,67","29,3","24,76","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01"
01-01-2018,06 - 07,"29,94","24,98","29,94","24,98","29,94","24,98","29,94","24,98","29,94","24,98","29,94","17,78","29,94","17,78","29,94","17,78","29,94","17,78","29,94","17,78","29,94","10,18","29,94","10,18"
01-01-2018,07 - 08,"29,94","25,71","29,94","25,71","29,94","25,61","29,94","25,61","29,94","25,71","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8"
01-01-2018,08 - 09,"28,42","25,48","28,42","25,48","28,42","25,48","28,42","25,48","28,42","25,48","28,42","19,76","28,42","19,76","28,42","19,76","28,42","19,76","28,42","19,76","26,39","19,76","26,39","19,76"
01-01-2018,09 - 10,"25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73"
01-01-2018,10 - 11,"26,07","26,07","26,07","26,07","26,07","26,07","26,07","26,07","26,07","26,07","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76"
01-01-2018,11 - 12,"26,12","26,12","26,12","26,12","26,12","26,12","26,12","26,12","26,12","26,12","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","-13,29","25,68","25,68"
01-01-2018,12 - 13,"26,16","26,16","26,16","26,16","26,16","26,16","26,16","26,16","26,16","26,16","24,09","24,09","24,09","24,09","24,09","24,09","24,09","24,09","24,09","24,09","16,56","-13,16","19,99","19,99"
01-01-2018,13 - 14,"29,43","26,19","29,43","26,19","26,19","26,19","26,19","26,19","29,43","26,19","25,01","25,01","25,01","25,01","25,01","25,01","25,01","25,01","25,01","25,01","13,21","13,21","25,01","25,01"
01-01-2018,14 - 15,"29,43","26,19","29,43","26,19","26,19","26,19","26,19","26,19","29,43","26,19","25,81","25,81","25,81","25,81","25,81","25,81","25,81","25,81","25,81","25,81","9,15","-6,71","25,81","25,81"
01-01-2018,15 - 16,"29,43","26,46","29,43","26,46","26,46","26,46","26,46","26,46","29,43","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46","26,46","13,29","13,29","26,46","26,46"
01-01-2018,16 - 17,"28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03","28,99","27,03"
01-01-2018,17 - 18,"29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43","29,94","27,43"
01-01-2018,18 - 19,"29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29","29,94","27,29"
01-01-2018,19 - 20,"29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96","29,94","26,96"
01-01-2018,20 - 21,"26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7","26,7"
01-01-2018,21 - 22,"26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47","26,47"
01-01-2018,22 - 23,"26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09","26,09"
01-01-2018,23 - 00,"25,02","21,9","25,02","21,9","25,77","21,9","25,77","21,9","25,02","21,9","24,88","21,9","24,88","21,9","24,88","21,9","24,88","21,9","24,88","21,9","24,88","21,9","24,88","21,9"
02-01-2018,00 - 01,"25,9","21,31","25,9","21,31","25,9",5,"25,9",5,"25,9","21,31","25,28",5,"25,28",5,"25,28",5,"25,28",5,"25,28",5,"18,12",5,"18,12",5
02-01-2018,01 - 02,"25,52","21,31","25,52","21,31","25,52",3,"25,52",3,"25,52","21,31","23,16",3,"23,16",3,"23,16",3,"23,16",3,"23,16",3,"14,99",3,"14,99",3
02-01-2018,02 - 03,"25,86","21,31","25,86","21,31","25,58",3,"25,58",3,"25,86","21,31","24,78",3,"24,78",3,"24,78",3,"24,78",3,"24,78",3,"17,79",3,"17,79",3
02-01-2018,03 - 04,"25,58","21,31","25,58","21,31","25,53",3,"25,53",3,"25,58","21,31","25,03",3,"25,03",3,"25,03",3,"25,03",3,"25,03",3,"24,51",3,"24,51",3
02-01-2018,04 - 05,"25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","25,73","11,83","11,83","17,82","17,82"
02-01-2018,05 - 06,"26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","26,84","23,34","14,55","14,55","26,84","23,34"
02-01-2018,06 - 07,"27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","27,8","23,2","22,58","22,58","27,8","23,2"
02-01-2018,07 - 08,"30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","30,5","24,7","41,92","24,7","41,92","24,7"
02-01-2018,08 - 09,"31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","31,93","25,37","47,95","25,37","47,95","25,37"
02-01-2018,09 - 10,"33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","33,53","25,37","38,02","25,37","38,02","25,37"
02-01-2018,10 - 11,"35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39","35,04","25,39"
02-01-2018,11 - 12,"35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4","35,22","27,4"
02-01-2018,12 - 13,"34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91","34,56","27,91"
02-01-2018,13 - 14,"34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91","34,1","27,91"
02-01-2018,14 - 15,"35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5","35,98","27,5"
02-01-2018,15 - 16,"38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4","38,05","27,4"
02-01-2018,16 - 17,"41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4","41,67","27,4"
02-01-2018,17 - 18,"42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6","42,39","27,6"
02-01-2018,18 - 19,"37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","37,79","28,42","45,06","28,42","45,06","28,42"
02-01-2018,19 - 20,"33,7","27,5","33,7","27,5","33,7","27,5","33,7","27,5","33,7","27,5","33,7","27,5","33,7","27,5","33,7","27,5","34,08","27,5","33,7","27,5","41,08","27,5","41,08","27,5"
02-01-2018,20 - 21,"30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","30,88","25,37","34,94","25,37","31,55","25,37"
02-01-2018,21 - 22,"28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","28,85","25,1","25,46","25,1","28,85","25,1"
02-01-2018,22 - 23,"27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","27,99","23,34","21,3","21,3","27,99","23,34"
02-01-2018,23 - 00,"27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","27,6","22,7","18,97","18,97","27,6","22,7"
03-01-2018,00 - 01,"27,12","27,12","26,86","26,86","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","18,11","18,11","18,11","18,11"
03-01-2018,01 - 02,"26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","26,61","23,52","1,38","1,38","1,38","1,38"
03-01-2018,02 - 03,"26,26","20,45","26,12","20,45","26,26","20,45","26,26","20,45","26,26","20,45","26,26","20,45","26,26","20,45","26,26","20,45","26,26","20,45","26,26","20,45","0,02","0,02","0,02","0,02"
03-01-2018,03 - 04,"26,23","17,89","26,09","17,89","26,23","17,89","26,23","17,89","26,23","17,89","26,23","17,89","26,23","17,89","26,23","17,89","26,23","17,89","26,23","17,89","-5,99","-5,99","-5,99","-5,99"
03-01-2018,04 - 05,"26,42","17,5","26,15","17,5","26,42","17,5","26,42","17,5","26,42","17,5","26,42","17,5","26,42","17,5","26,42","17,5","26,42","17,5","26,42","17,5","-9,21","-9,21","-9,21","-9,21"
03-01-2018,05 - 06,"27,47","20,45","26,53","20,45","27,47","20,45","27,47","20,45","27,47","20,45","27,47","20,45","27,47","20,45","27,47","20,45","27,47","20,45","27,47","20,45","-4,64","-4,64","-4,64","-4,64"
03-01-2018,06 - 07,"28,31","22,5","26,57","22,5","28,31","22,5","28,31","22,5","28,31","22,5","28,31","22,5","28,31","22,5","28,31","22,5","28,31","22,5","28,31","22,5","9,9","2,96","18,51","2,96"
03-01-2018,07 - 08,"28,95","23,52","26,97","23,52","28,95","23,52","28,95","23,52","28,95","23,52","28,95","23,52","28,95","23,52","28,95","23,52","28,95","23,52","28,95","23,52","26,97","23,52","28,95","23,52"
03-01-2018,08 - 09,"29,2","24,3","27,57","24,3","29,2","24,3","29,2","24,3","29,2","24,3","29,2","24,3","29,2","24,3","29,2","24,3","29,2","24,3","29,2","24,3","27,57","24,3","29,2","24,3"
03-01-2018,09 - 10,"29,28","23,52","27,72","23,52","29,28","23,52","29,28","23,52","29,28","23,52","29,28","23,52","29,28","23,52","29,28","23,52","29,28","23,52","29,28","23,52","27,72","23,52","29,28","23,52"
03-01-2018,10 - 11,"29,42","23,52","27,99","23,52","29,42","23,52","29,42","23,52","29,42","23,52","29,42","23,52","29,42","23,52","29,42","23,52","29,42","23,52","29,42","23,52","27,99","23,52","29,42","23,52"
03-01-2018,11 - 12,"29,25","27,09","28,52","27,09","29,25","27,09","29,25","27,09","29,25","27,09","29,25","27,09","29,25","27,09","29,25","27,09","29,25","27,09","29,25","27,09","28,52","27,09","29,25","27,09"
03-01-2018,12 - 13,"29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09","29,23","27,09"
03-01-2018,13 - 14,"30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09","30,67","27,09"
03-01-2018,14 - 15,"32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86","32,1","29,86"
03-01-2018,15 - 16,"32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51","32,1","30,51"
03-01-2018,16 - 17,"32,1","30,95","32,1","30,95","32,1","31,33","32,1","31,33","32,1","30,95","32,1","31,33","32,1","31,33","32,1","31,33","32,1","31,33","32,1","31,33","32,1","30,95","32,1","31,33"
03-01-2018,17 - 18,"32,61","31,28","32,61","31,28","32,61","31,59","32,61","31,59","32,61","31,28","32,61","31,59","32,61","31,59","32,61","31,59","32,61","31,59","32,61","31,59","32,61","31,28","32,61","31,59"
03-01-2018,18 - 19,"32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78","32,61","30,78"
03-01-2018,19 - 20,"32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15","32,61","30,15"
03-01-2018,20 - 21,"31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37","31,2","29,37"
03-01-2018,21 - 22,"30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93","30,5","28,93"
03-01-2018,22 - 23,"30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13","30,5","28,13"
03-01-2018,23 - 00,"30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31","30,5","27,31"
04-01-2018,00 - 01,"31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05","31,6","27,05"
04-01-2018,01 - 02,"31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78","31,6","26,78"
04-01-2018,02 - 03,"31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47","31,6","26,47"
04-01-2018,03 - 04,"31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49","31,6","26,49"
04-01-2018,04 - 05,"30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6","30,78","26,6"
04-01-2018,05 - 06,"27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","27,01","17,31","17,31","27,01","27,01"
04-01-2018,06 - 07,"28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,04","19,96","19,96","28,04","28,04"
04-01-2018,07 - 08,"33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","30,43","33,86","33,59","33,86","30,43"
04-01-2018,08 - 09,"34,89","32,83","34,89","32,83","34,89","32,83","34,89","32,83","34,89","32,83","34,89","32,83","34,89","32,83","34,89","32,83","36,3","36,3","34,89","32,83","40,45","40,45","40,45","40,45"
04-01-2018,09 - 10,"36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","36,43","34,97","41,97","41,97","41,97","41,97"
04-01-2018,10 - 11,38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55",38,"37,55"
04-01-2018,11 - 12,37,"36,02",37,"36,02",37,"36,02",37,"36,02",37,"36,02",37,"36,02",37,"36,02",37,"36,02","60,45","36,02",37,"36,02","58,02","36,02","60,45","36,02"
04-01-2018,12 - 13,"37,08","35,53","37,08","35,53","37,08","35,53","37,08","35,53","37,08","35,53","37,08","35,53","37,08","35,53","37,08","35,53",48,"35,53","37,08","35,53",48,"35,53",48,"35,53"
04-01-2018,13 - 14,"37,08","35,3","37,08","35,3","37,08","35,3","37,08","35,3","37,08","35,3","37,08","35,3","37,08","35,3","37,08","35,3","53,73","35,3","37,08","35,3","53,73","35,3","53,73","35,3"
04-01-2018,14 - 15,"37,08","35,83","37,08","35,83","37,08","35,83","37,08","35,83","37,08","35,83","37,08","35,83","37,08","35,83","37,08","35,83","62,06","35,83","37,08","35,83","62,06","35,83","62,06","35,83"
04-01-2018,15 - 16,"39,51","37,83","39,51","37,83","39,51","37,83","39,51","37,83","39,51","37,83","39,51","37,83","39,51","37,83","39,51","37,83","60,45","37,83","39,51","37,83","60,45","42,04","60,45","42,04"
04-01-2018,16 - 17,40,"39,03",40,"39,03",40,"39,03",40,"39,03",40,"39,03",40,"39,03",40,"39,03",40,"39,03","60,45","39,03",40,"39,03","60,45","42,53","60,45","42,53"
04-01-2018,17 - 18,"39,1","37,91","39,1","37,91","39,1","37,71","39,1","37,71","39,1","37,91","39,1","37,71","39,1","37,71","39,1","37,91","39,1","37,91","39,1","37,91","51,43","51,43","51,43","51,43"
04-01-2018,18 - 19,"35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","35,03","49,96","49,96","49,96","49,96"
04-01-2018,19 - 20,"32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","32,8","31,87","46,73","46,73","46,73","46,73"
04-01-2018,20 - 21,"32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","32,8","30,78","41,57","41,57","41,57","41,57"
04-01-2018,21 - 22,32,"30,27",32,"30,27",32,"30,27",32,"30,27",32,"30,27",32,"30,27",32,"30,27",32,"30,27",32,"30,27",32,"30,27","37,09","37,09","37,09","37,09"
04-01-2018,22 - 23,"31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","31,6","29,63","32,49","32,49","32,49","32,49"
04-01-2018,23 - 00,"31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63","31,6","24,63"
05-01-2018,00 - 01,"28,14","28,14","28,14","28,14",28,"27,38",28,"27,38","28,14","28,14",28,"27,38",28,"27,38",28,"27,38",28,"27,38",28,"27,38",28,"5,96",28,"27,38"
05-01-2018,01 - 02,28,"27,51",28,"27,51",28,"26,93",28,"26,93",28,"27,51",28,"26,93",28,"26,93",28,"26,93",28,"26,93",28,"26,93",28,"-0,94",28,"26,93"
05-01-2018,02 - 03,28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5"
05-01-2018,03 - 04,28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5",28,"26,5"
05-01-2018,04 - 05,"26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59","26,88","24,59"
05-01-2018,05 - 06,"27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56","27,66","23,56"
05-01-2018,06 - 07,"28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","28,65","23,56","24,98","23,56","28,65","23,56"
05-01-2018,07 - 08,"30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46","30,44","26,46"
05-01-2018,08 - 09,"32,53",27,"32,53",27,"32,53",27,"32,53",27,"32,53",27,"32,53",27,"32,53",27,"32,53",27,"32,96",27,"32,53",27,"36,2",27,"36,2",27
05-01-2018,09 - 10,"33,52",27,"33,52",27,"33,52",27,"33,52",27,"33,52",27,"33,52",27,"33,52",27,"33,52",27,"35,43",27,"33,52",27,"36,3",27,"36,3",27
05-01-2018,10 - 11,"33,31","28,2","33,31","28,2","33,31","28,2","33,31","28,2","33,31","28,2","33,31","28,2","33,31","28,2","33,31","28,2","37,59","28,2","33,31","28,2","38,95","28,2","38,95","28,2"
05-01-2018,11 - 12,"32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","32,98","39,53","37,55","32,98","32,98","39,53","39,4","39,53","39,4"
05-01-2018,12 - 13,"32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","41,82","37,55","32,88","32,88","41,82","41,69","41,82","41,69"
05-01-2018,13 - 14,"32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","32,84","60,44","37,52","32,84","32,84","60,44","42,41","60,44","42,41"
05-01-2018,14 - 15,"32,87","28,5","32,87","28,5","32,87","28,5","32,87","28,5","32,87","28,5","32,87","28,5","32,87","28,5","32,87","28,5","59,41","32,94","32,87","28,5","59,41","42,38","59,41","42,38"
05-01-2018,15 - 16,"34,2","28,68","34,2","28,68","34,2","28,68","34,2","28,68","34,2","28,68","34,2","28,68","34,2","28,68","34,2","28,68","61,4","37,51","34,2","28,68","61,4","47,1","61,4","47,1"
05-01-2018,16 - 17,"35,8","35,1","35,8","35,1","35,8","35,1","35,8","35,1","35,8","35,1","35,8","35,1","35,8","35,1","35,8","35,1","60,44","37,6","35,8","35,1","60,44","47,77","60,44","47,77"
05-01-2018,17 - 18,"37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","37,3","56,62","37,56","37,3","37,3","56,62","56,35","56,62","56,35"
05-01-2018,18 - 19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,"57,69",34,34,34,"57,69","57,42","57,69","57,42"
05-01-2018,19 - 20,"32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","32,25","54,19","32,25","32,25","32,25","54,19","53,92","54,19","53,92"
05-01-2018,20 - 21,"31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","31,51","27,66","42,36","27,66","42,36","27,66"
05-01-2018,21 - 22,"31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","31,25","26,63","39,9","26,63","39,9","26,63"
05-01-2018,22 - 23,"30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","30,44","26,63","35,98","26,63","35,98","26,63"
05-01-2018,23 - 00,"29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","29,64","35,24","35,24","35,24","35,24"
06-01-2018,00 - 01,"29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45","29,45"
06-01-2018,01 - 02,"28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67","28,55","25,67"
06-01-2018,02 - 03,"28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64","28,18","24,64"
06-01-2018,03 - 04,28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64",28,"24,64"
06-01-2018,04 - 05,"28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","28,15","24,64","27,08","24,64","28,15","24,64"
06-01-2018,05 - 06,"28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64","28,7","24,64"
