Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
01-01-2019,00 - 01,"48,77","38,2","48,77","38,2","45,36","38,2","45,36","38,2","48,77","38,2","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32","28,32"
01-01-2019,01 - 02,"49,25","40,21","49,25","40,21","45,31","40,21","45,31","40,21","49,25","40,21","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07","10,07"
01-01-2019,02 - 03,"49,17","43,73","49,17","43,73","45,37","43,73","45,37","43,73","49,17","43,73","10,03","10,03","10,03","10,03","10,03","10,03","10,03","10,03","10,03","10,03","-4,08","-4,08","-4,08","-4,08"
01-01-2019,03 - 04,"48,37","42,22","48,37","42,22","45,21","42,22","45,21","42,22","48,37","42,22","4,56","4,56","4,56","4,56","4,56","4,56","4,56","4,56","4,56","4,56","-9,91","-9,91","-9,91","-9,91"
01-01-2019,04 - 05,"47,19","42,22","47,19","42,22","44,9","42,22","44,9","42,22","47,19","42,22","4,83","4,83","4,83","4,83","4,83","4,83","4,83","4,83","4,83","4,83","-7,41","-7,41","-7,41","-7,41"
01-01-2019,05 - 06,"47,37","42,22","47,37","42,22","45,16","42,22","45,16","42,22","47,37","42,22","8,09","8,09","8,09","8,09","8,09","8,09","8,09","8,09","8,09","8,09","-12,55","-12,55","-12,55","-12,55"
01-01-2019,06 - 07,"52,27","42,72","52,27","42,72","46,17","42,22","46,17","42,22","52,27","42,72","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","-17,25","-17,25","-17,25","-17,25"
01-01-2019,07 - 08,"52,27","49,09","52,27","49,09","46,1","37,5","46,1","37,5","52,27","49,09","39,16","37,5","39,16","37,5","39,16","37,5","39,16","37,5","39,16","37,5","-15,07","-15,07","-15,07","-15,07"
01-01-2019,08 - 09,"52,27","47,63","52,27","47,63","45,75",25,"45,75",25,"52,27","47,63","37,66",25,"37,66",25,"37,66",25,"37,66",25,"37,66",25,"-4,93","-4,93","-4,93","-4,93"
01-01-2019,09 - 10,"52,27","47,99","52,27","47,99","46,01","19,7","46,01","19,7","52,27","47,99","21,52","19,7","21,52","19,7","21,52","19,7","21,52","19,7","21,52","19,7","-6,33","-6,33","-6,33","-6,33"
01-01-2019,10 - 11,"53,78","49,2","53,78","49,2","46,92",20,"46,92",20,"53,78","49,2","28,25",20,"28,25",20,"28,25",20,"28,25",20,"28,25",20,"-4,93","-4,93","-4,93","-4,93"
01-01-2019,11 - 12,"53,78","49,39","53,78","49,39","47,36","34,68","47,36","34,68","53,78","49,39","19,29","19,29","19,29","19,29","19,29","19,29","19,29","19,29","19,29","19,29","0,45","0,45","0,45","0,45"
01-01-2019,12 - 13,"53,28","49,2","53,28","49,2","47,55","34,68","47,55","34,68","53,28","49,2","19,32","19,32","19,32","19,32","19,32","19,32","19,32","19,32","19,32","19,32","0,12","0,12","0,12","0,12"
