Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
01-01-2019,13 - 14,"53,28","49,13","53,28","49,13","47,71","34,68","47,71","34,68","53,28","49,13","16,21","16,21","16,21","16,21","16,21","16,21","16,21","16,21","16,21","16,21","-0,02","-0,02","-0,02","-0,02"
01-01-2019,14 - 15,"53,78","48,33","53,78","48,33","47,8","34,68","47,8","34,68","53,78","48,33","21,47","21,47","21,47","21,47","21,47","21,47","21,47","21,47","21,47","21,47",0,0,0,0
01-01-2019,15 - 16,"53,78","48,45","53,78","48,45","48,08","41,21","48,08","41,21","53,78","48,45","32,69","32,69","32,69","32,69","32,69","32,69","32,69","32,69","32,69","32,69","-0,03","-0,03","-0,03","-0,03"
01-01-2019,16 - 17,"54,28","48,98","54,28","48,98","54,28","48,13","54,28","48,13","54,28","48,98","54,28","29,34","54,28","29,34","54,28","29,34","54,28","29,34","54,28","29,34","1,97","1,97","1,97","1,97"
01-01-2019,17 - 18,"54,28","49,45","54,28","49,45","54,28","48,15","54,28","48,15","54,28","49,45","54,28","30,19","54,28","30,19","54,28","30,19","54,28","30,19","54,28","30,19","54,28","9,06","54,28","9,06"
01-01-2019,18 - 19,"54,28","48,89","54,28","48,89","54,28","48,05","54,28","48,05","54,28","48,89","54,28","30,09","54,28","30,09","54,28","30,09","54,28","30,09","54,28","30,09","0,07","0,07","54,28","0,07"
01-01-2019,19 - 20,51,"48,91",51,"48,91",51,"47,76",51,"47,76",51,"48,91",51,"29,58",51,"29,58",51,"29,58",51,"29,58",51,"29,58","-4,97","-4,97",51,"-4,97"
01-01-2019,20 - 21,"50,7","49,31","50,7","49,31","50,7","47,67","50,7","47,67","50,7","49,31","50,7","36,91","50,7","36,91","50,7","36,91","50,7","36,91","50,7","36,91","-6,98","-6,98","-6,98","-6,98"
01-01-2019,21 - 22,"49,1","49,1","49,1","49,1","47,57","47,57","47,57","47,57","49,1","49,1","33,14","33,14","33,14","33,14","33,14","33,14","33,14","33,14","33,14","33,14","-16,01","-16,01","-16,01","-16,01"
01-01-2019,22 - 23,"50,1","49,42","50,1","49,42","50,1","47,48","50,1","47,48","50,1","49,42","50,1","21,61","50,1","21,61","50,1","21,61","50,1","21,61","50,1","21,61","-4,87","-4,87","-4,87","-4,87"
01-01-2019,23 - 00,"49,12","49,12","49,12","49,12","47,21","47,21","47,21","47,21","49,12","49,12",43,"4,04",43,"4,04",43,"4,04",43,"4,04",43,"4,04","-28,93","-28,93",43,"-28,93"
02-01-2019,00 - 01,"49,16","49,16","49,16","49,16","47,09","47,09","47,09","47,09","49,16","49,16","9,7","9,7","9,7","9,7","9,7","9,7","9,7","9,7","9,7","9,7","-33,57","-33,57","-33,57","-33,57"
02-01-2019,01 - 02,"48,14","48,14","48,14","48,14","47,15","47,15","47,15","47,15","48,14","48,14","6,32","6,32","6,32","6,32","6,32","6,32","6,32","6,32","6,32","6,32","-45,92","-45,92","-45,92","-45,92"
02-01-2019,02 - 03,"48,14","48,14","48,14","48,14","46,97","46,97","46,97","46,97","48,14","48,14","4,35","4,35","4,35","4,35","4,35","4,35","4,35","4,35","4,35","4,35","-48,29","-48,29","-48,29","-48,29"
02-01-2019,03 - 04,"47,24","47,24","47,24","47,24","47,1","47,1","47,1","47,1","47,24","47,24","8,81","8,81","8,81","8,81","8,81","8,81","8,81","8,81","8,81","8,81","-33,6","-33,6","-33,6","-33,6"
02-01-2019,04 - 05,"47,53","47,53","47,53","47,53","47,22","47,22","47,22","47,22","47,53","47,53","22,67","22,67","22,67","22,67","22,67","22,67","22,67","22,67","22,67","22,67","-33,54","-33,54","-33,54","-33,54"
02-01-2019,05 - 06,"47,98","47,98","47,98","47,98","47,62","47,62","47,62","47,62","47,98","47,98","43,28","43,28","43,28","43,28","43,28","43,28","43,28","43,28","43,28","43,28","-17,79","-17,79","-17,79","-17,79"
02-01-2019,06 - 07,"49,44","44,5","49,44","44,5","47,95","44,5","47,95","44,5","49,44","44,5","44,64","44,5","44,64","44,5","44,64","44,5","44,64","44,5","44,64","44,5","-0,01","-0,01","-0,01","-0,01"
02-01-2019,07 - 08,"50,11","44,5","50,11","44,5","49,64","44,5","49,64","44,5","50,11","44,5","49,64","44,5","49,64","44,5","49,64","44,5","49,64","44,5","49,64","44,5","37,43","37,43","37,43","37,43"
02-01-2019,08 - 09,"50,74","45,44","50,74","45,44","49,96","45,44","49,96","45,44","50,74","45,44","49,96","45,44","49,96","45,44","49,96","45,44","49,96","45,44","49,96","45,44","48,06","45,44","48,06","45,44"
02-01-2019,09 - 10,"50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94","50,74","44,94"
02-01-2019,10 - 11,"50,69","44,99","50,69","44,99","49,99","44,99","49,99","44,99","50,69","44,99","49,99","44,99","49,99","44,99","49,99","44,99","49,99","44,99","49,99","44,99","48,11","44,99","48,11","44,99"
02-01-2019,11 - 12,"50,27","45,44","50,27","45,44","50,25","45,44","50,25","45,44","50,27","45,44","50,25","45,44","50,25","45,44","50,25","45,44","50,25","45,44","50,25","45,44","48,66","45,44","48,66","45,44"
02-01-2019,12 - 13,"49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44","49,94","44,44"
02-01-2019,13 - 14,"50,11","44,44","50,11","44,44","49,97","44,44","49,97","44,44","50,11","44,44","49,97","44,44","49,97","44,44","49,97","44,44","49,97","44,44","49,97","44,44","47,26","44,44","47,26","44,44"
02-01-2019,14 - 15,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"50,93",45,"49,64",45,"50,93",45
02-01-2019,15 - 16,"52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","52,38","48,2","53,67","48,2","52,38","48,2"
02-01-2019,16 - 17,"54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","54,67","47,82","56,01","47,82","56,01","47,82"
02-01-2019,17 - 18,"55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","55,58","48,43","56,95","48,43","56,95","48,43"
02-01-2019,18 - 19,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49,"55,39",49
02-01-2019,19 - 20,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49,"54,9",49
02-01-2019,20 - 21,"53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93","53,86","48,93"
02-01-2019,21 - 22,"52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93","52,71","48,93"
02-01-2019,22 - 23,"52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43","52,09","48,43"
02-01-2019,23 - 00,"50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1","50,76","46,1"
03-01-2019,00 - 01,"51,98","50,03","51,98","50,03","51,98","49,8","51,98","49,8","51,98","50,03","51,98","49,8","51,98","49,8","51,98","49,8","51,98","49,8","51,98","49,8","51,98","42,91","51,98","42,91"
03-01-2019,01 - 02,"51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","48,89","51,98","45,22","51,98","45,22"
03-01-2019,02 - 03,"51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31","51,98","48,31"
03-01-2019,03 - 04,"48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4"
03-01-2019,04 - 05,"48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79","48,79"
03-01-2019,05 - 06,"49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","49,61","45,92","45,92","45,92","45,92"
03-01-2019,06 - 07,"51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,17","51,55","51,55","51,07","51,07","51,07","51,07"
03-01-2019,07 - 08,"53,91",51,"53,91",51,"53,91",51,"53,91",51,"53,91",51,"53,91",51,"53,91",51,"53,91",51,"53,91",51,"57,09",51,"52,77",51,"53,91",51
03-01-2019,08 - 09,"58,86",51,"58,86",51,"54,96",51,"54,96",51,"56,67",51,"54,96",51,"54,96",51,"58,86",51,"58,86",51,"58,86",51,"62,89",51,"61,76",51
03-01-2019,09 - 10,"59,14","50,47","59,14","50,47","54,27","50,47","54,27","50,47","56,76","50,47","54,27","50,47","54,27","50,47","59,14","50,47","59,14","50,47","59,14","50,47","60,03","50,47","60,03","50,47"
03-01-2019,10 - 11,"58,19","49,5","58,19","49,5","53,79","46,93","53,79","46,93","56,78","49,5","53,79","46,93","53,79","46,93","58,19","49,5","58,19","49,5","58,19","49,5","58,19","49,5","58,19","49,5"
03-01-2019,11 - 12,"61,47",51,"61,47",51,"53,25","46,93","53,25","46,93","56,68",51,"53,25","46,93","53,25","46,93","61,47",51,"61,47",51,"61,47",51,"61,47",51,"61,47",51
03-01-2019,12 - 13,62,62,62,62,"53,15","46,93","53,15","46,93","56,62","56,62","53,15","46,93","53,15","46,93",62,62,62,62,62,"46,93",62,62,62,62
03-01-2019,13 - 14,"63,12","52,99","63,12","52,99","52,61","44,92","52,61","44,92","56,6","52,99","52,61","44,92","52,61","44,92","63,12","52,99","63,12","52,99","63,12","44,92","63,12","52,99","63,12","52,99"
03-01-2019,14 - 15,"63,67","50,97","63,67","50,97","52,63","44,8","52,63","44,8","56,61","50,97","52,63","44,8","52,63","44,8","63,67","50,97","63,67","50,97","63,67","44,8","63,67","50,97","63,67","50,97"
03-01-2019,15 - 16,"66,13","50,47","66,13","50,47","52,69","44,8","52,69","44,8","56,67","50,47","52,69","44,8","52,69","44,8","66,13","50,47","66,13","50,47","66,13","44,8","66,13","50,47","66,13","50,47"
03-01-2019,16 - 17,"68,41","50,6","68,41","50,6","52,85","45,93","52,85","45,93","56,73","50,6","52,85","45,93","52,85","45,93","68,41","50,6","68,41","50,6","68,41","45,93","68,41","50,6","68,41","50,6"
03-01-2019,17 - 18,"69,55","51,48","69,55","51,48","52,58","45,93","52,58","45,93","56,66","51,48","52,58","45,93","52,58","45,93","69,55","51,48","69,55","51,48","69,55","45,93","69,55","51,48","69,55","51,48"
03-01-2019,18 - 19,"65,67","65,67","65,67","65,67","52,23","45,93","52,23","45,93","56,57","56,57","52,23","45,93","52,23","45,93","65,67","65,67","65,67","65,67","65,67","46,4","65,67","65,67","65,67","65,67"
03-01-2019,19 - 20,"61,51","61,51","61,51","61,51","52,33","45,93","52,33","45,93","56,53","56,53","52,33","45,93","52,33","45,93","61,51","61,51","61,51","61,51","61,51","61,51","61,51","61,51","61,51","61,51"
03-01-2019,20 - 21,"56,04","56,04","56,04","56,04","53,34","45,93","53,34","45,93","56,04","56,04","53,34","45,93","53,34","45,93","56,04","56,04","57,6","57,6","56,04","56,04","56,04","56,04","57,6","57,6"
03-01-2019,21 - 22,"54,44","54,44","54,44","54,44","54,07","45,93","54,07","45,93","54,44","54,44","54,07","45,93","54,07","45,93","54,44","54,44","54,44","54,44","54,44","54,44","54,44","54,44","54,44","54,44"
03-01-2019,22 - 23,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48,"52,09",48
03-01-2019,23 - 00,"49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42","49,98","45,42"
04-01-2019,00 - 01,"49,98","46,78","49,98","46,78","49,87","46,78","49,87","46,78","49,98","46,78","49,87","46,78","49,87","46,78","49,87","46,78","49,87","46,78","49,87","46,78","49,87","46,78","49,87","46,78"
04-01-2019,01 - 02,"48,67","48,67","48,67","48,67","47,97","47,97","47,97","47,97","48,67","48,67","47,97","47,97","47,97","47,97","47,97","47,97","47,97","47,97","47,97","47,97","47,11","47,11","47,97","47,97"
04-01-2019,02 - 03,"47,71","47,71","47,71","47,71","47,07","47,07","47,07","47,07","47,71","47,71","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07","47,07"
04-01-2019,03 - 04,"48,29","47,64","48,29","47,64","48,29","47,05","48,29","47,05","48,29","47,64","48,29","47,05","48,29","47,05","48,29","47,05","48,29","47,05","48,29","47,05","48,29","46,94","48,29","46,94"
04-01-2019,04 - 05,"48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43","47,43","48,43",47,"48,43",47
04-01-2019,05 - 06,"48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58","48,58",56,"48,58","46,91","46,91","46,91","46,91"
04-01-2019,06 - 07,"52,5","50,87","52,5","50,87","52,5","50,87","52,5","50,87","52,5","50,87","52,5","50,87","52,5","50,87","52,5","50,87","52,5","50,87","68,3","51,2","52,5","49,59","52,5","50,87"
04-01-2019,07 - 08,"52,32","52,32","52,32","52,32","51,96","51,96","51,96","51,96","52,32","52,32","51,96","51,96","51,96","51,96","52,32","52,32","53,99","53,99",85,"57,77","55,27","55,27","53,99","53,99"
04-01-2019,08 - 09,"54,44","54,44","54,44","54,44","52,61","52,61","52,61","52,61","54,44","54,44","52,61","52,61","52,61","52,61","54,44","54,44","54,44","54,44","60,04","60,04","54,44","54,44","54,44","54,44"
04-01-2019,09 - 10,"54,18","48,79","54,18","48,79","53,19","48,79","53,19","48,79","54,18","48,79","53,19","48,79","53,19","48,79","54,18","48,79","54,18","48,79","59,94","59,94","54,18","48,79","54,18","48,79"
04-01-2019,10 - 11,"53,9","48,79","53,9","48,79","53,53","48,79","53,53","48,79","53,9","48,79","53,53","48,79","53,53","48,79","53,9","48,79","53,9","48,79",75,"59,92","53,9","48,79","53,9","48,79"
04-01-2019,11 - 12,"53,01","48,29","53,01","48,29","53,01","48,29","53,01","48,29","53,01","48,29","53,01","48,29","53,01","48,29","53,01","48,29","53,01","48,29",75,"57,99","53,01","48,29","53,01","48,29"
04-01-2019,12 - 13,"51,74","46,78","51,74","46,78","51,74","46,78","51,74","46,78","51,74","46,78","51,74","46,78","51,74","46,78","51,74","46,78","51,74","46,78",75,"58,43","51,74","46,78","51,74","46,78"
04-01-2019,13 - 14,"51,6","45,78","51,6","45,78","51,6","45,78","51,6","45,78","51,6","45,78","51,6","45,78","51,6","45,78","51,6","45,78","51,6","45,78",62,"57,98","51,6","45,78","51,6","45,78"
04-01-2019,14 - 15,"51,41",45,"51,41",45,"51,41",45,"51,41",45,"51,41",45,"51,41",45,"51,41",45,"51,41",45,"51,41",45,"58,37","58,37","51,41",45,"51,41",45
04-01-2019,15 - 16,"51,69",45,"51,69",45,"51,69",45,"51,69",45,"51,69",45,"51,69",45,"51,69",45,"51,69",45,"51,69",45,70,"60,67","51,69",45,"51,69",45
04-01-2019,16 - 17,"52,59","46,78","52,59","46,78","52,59","46,78","52,59","46,78","52,59","46,78","52,59","46,78","52,59","46,78","52,59","46,78","52,59","46,78","59,95","59,95","52,59","46,78","52,59","46,78"
04-01-2019,17 - 18,"53,34","46,78","53,34","46,78","53,34","46,78","53,34","46,78","53,34","46,78","53,34","46,78","53,34","46,78","53,34","46,78","53,34","46,78","59,92","59,92","53,34","46,78","53,34","46,78"
04-01-2019,18 - 19,"52,81","46,28","52,81","46,28","52,81","46,28","52,81","46,28","52,81","46,28","52,81","46,28","52,81","46,28","52,81","46,28","52,81","46,28","57,58","57,58","52,81","46,28","52,81","46,28"
04-01-2019,19 - 20,"51,79","46,28","51,79","46,28","51,79","46,28","51,79","46,28","51,79","46,28","51,79","46,28","51,79","46,28","51,79","46,28","51,79","46,28",106,"59,1","51,89","46,28","51,79","46,28"
04-01-2019,20 - 21,"51,04","44,5","51,04","44,5","51,04","44,5","51,04","44,5","51,04","44,5","51,04","44,5","51,04","44,5","51,04","44,5","51,04","44,5",99,"54,22","46,58","44,5","51,04","44,5"
04-01-2019,21 - 22,"50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","50,45","44,27","45,43","44,27","45,43","44,27"
04-01-2019,22 - 23,"49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","49,79","44,27","43,96","43,96","43,96","43,96"
04-01-2019,23 - 00,"49,02","44,5","49,02","44,5","49,02","44,5","49,02","44,5","49,02","44,5","49,02","44,5","49,02","44,5","49,02","44,5","49,02","44,5","49,02","48,02","31,41","31,41","31,41","31,41"
05-01-2019,00 - 01,"48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","48,42","45,6","26,9","26,9","26,9","26,9"
05-01-2019,01 - 02,"47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","47,52","42,06","25,12","25,12","25,12","25,12"
05-01-2019,02 - 03,"47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","47,19","40,5","24,12","24,12","24,12","24,12"
05-01-2019,03 - 04,47,"38,2",47,"38,2",47,"38,2",47,"38,2",47,"38,2",47,"38,2",47,"38,2",47,"38,2",47,"38,2",47,"38,2","22,04","22,04","22,04","22,04"
05-01-2019,04 - 05,"47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","47,01","38,2","18,37","18,37","18,37","18,37"
05-01-2019,05 - 06,"47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","47,33","41,04","22,09","22,09","22,09","22,09"
05-01-2019,06 - 07,"47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","47,59","23,35","23,35","23,35","23,35"
05-01-2019,07 - 08,"48,22","45,6","48,22","45,6","48,22","45,6","48,22","45,6","48,22","45,6","48,22","45,6","48,22","45,6","48,22","45,6","48,22","45,6","48,22","48,14","47,04","45,6","48,22","45,6"
05-01-2019,08 - 09,"49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6","49,99","45,6"
05-01-2019,09 - 10,"50,73","46,11","50,73","46,11","50,73","46,11","50,73","46,11","50,73","46,11","50,73","46,11","50,73","46,11","50,73","46,11","50,73","46,11","51,47","46,11","50,73","46,11","50,73","46,11"
05-01-2019,10 - 11,"50,93","46,11","50,93","46,11","50,93","46,11","50,93","46,11","50,93","46,11","50,93","46,11","50,93","46,11","50,93","46,11","50,93","46,11","52,53","46,11","50,93","46,11","50,93","46,11"
05-01-2019,11 - 12,"51,02","46,11","51,02","46,11","51,02","46,11","51,02","46,11","51,02","46,11","51,02","46,11","51,02","46,11","51,02","46,11","51,02","46,11","53,49","46,11","51,02","46,11","51,02","46,11"
05-01-2019,12 - 13,"51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","51,36","53,64","53,64","51,36","51,36","51,36","51,36"
05-01-2019,13 - 14,"51,74","47,12","51,74","47,12","51,74","47,12","51,74","47,12","51,74","47,12","51,74","47,12","51,74","47,12","51,74","47,12","51,74","47,12","52,93","47,12","51,74","47,12","51,74","47,12"
05-01-2019,14 - 15,"51,92","47,12","51,92","47,12","51,92","47,12","51,92","47,12","51,92","47,12","51,92","47,12","51,92","47,12","51,92","47,12","51,92","47,12","52,45","47,12","51,92","47,12","51,92","47,12"
05-01-2019,15 - 16,"53,22","47,12","53,22","47,12","53,22","47,12","53,22","47,12","53,22","47,12","53,22","47,12","53,22","47,12","53,22","47,12","53,22","47,12","57,13","47,12","53,22","47,12","53,22","47,12"
05-01-2019,16 - 17,"55,26",48,"55,26",48,"55,26",48,"55,26",48,"55,26",48,"55,26",48,"55,26",48,"55,26",48,"55,26",48,"62,87",48,"55,26",48,"55,26",48
05-01-2019,17 - 18,"55,87",50,"55,87",50,"55,87",50,"55,87",50,"55,87",50,"55,87",50,"55,87",50,"55,87",50,"55,87",50,"61,07","61,07","55,87",50,"55,87",50
05-01-2019,18 - 19,"58,1","55,26","58,1","55,26","55,26","48,2","55,26","48,2","58,1","55,26","55,26","48,2","55,26","48,2","58,1","55,26","60,16","60,16","60,51","60,51","55,26","55,26","60,16","60,16"
05-01-2019,19 - 20,"53,8","53,8","53,8","53,8","53,8","48,64","53,8","48,64","53,8","53,8","53,8","48,64","53,8","48,64","53,8","53,8","58,01","58,01","58,88","48,64","53,8","53,8","58,01","58,01"
05-01-2019,20 - 21,"52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63","52,75","47,63"
05-01-2019,21 - 22,"51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62","51,9","46,62"
05-01-2019,22 - 23,"51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,13","45,1","51,38","45,1","51,13","45,1"
05-01-2019,23 - 00,"50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","50,21","44,59","49,96","44,59","50,21","44,59"
06-01-2019,00 - 01,"50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76","50,29","43,76"
06-01-2019,01 - 02,"49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","49,03","43,25","47,72","43,25","49,03","43,25"
06-01-2019,02 - 03,"48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4","48,81","42,4"
06-01-2019,03 - 04,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41,"48,66",41
